"name","review"
"
          Антибиотик ОАО ""Татхимфармпрепараты"" Тетрациклиновая мазь глазная 1% - отзыв        "," Сегодня расскажу об очень эффективной и недорогой мази для глаз.Покупала ее в обычной аптеке по рекомендации детского врача-офтальмолога. Диагноз звучал так: блефарит.Блефарит - это воспаление края века.Инфекция попала в глаз ребенка, видимо, в тот момент, когда он, бегая во дворе с другими детьми , нечаянно наткнулся на ветку от куста. Ветка оцарапала кожицу возле глаза. Глазки мы, конечно, потерли грязными ручками. И инфекция поселилась в глазу. Проявилось это на следующий день, когда стали заметными припухлость и покраснение правого века. Пришлось обращаться к врачу.Мазь Тетрациклиновая глазная по фармакологическим свойствампринадлежит к бактериостатическим антибиотикам из группы тетрациклинов.В состав мази входит всего три ингридиента:тетрациклин, ланолин безводный и вазелин.По консистенции мазь густая.Цвет насыщенно-желтый.Цена - всего 44 рубля.    
      
        
    Противопоказания к применению:беременность, грудное вскармливание, повышенная чувствительность к компонентам.Закладывала мазь за веко каждые 4 часа. Делала это в течении одного дня. Больше применять мазь не понадобилось. На следующий день не было и следов покраснения.При применении чувства пощипывания не было.Мазь, безусловно, рекомендую. Средство эффективное. сообщить о нарушении
        "
"
          Антибиотик ОАО ""Татхимфармпрепараты"" Тетрациклиновая мазь глазная 1% - отзыв        "," Проснувшись в одно не очень прекрасное утро, я с ужасом поняла, что не могу открыть глаза. Кое-как разлепив веки, подошла к зеркалу - глаза были красные, воспалённые, да и вообще, ощущения были не из приятных. В детстве так проявлялся коньюктивит, но тогда он лечился за один день волшебным средством под названием ""пенициллин"". Увы, сейчас в аптеках его нет, поэтому встал вопрос, чем же всё-таки лечиться. В первый день я была полна надежды что это ненадолго, поэтому капала в глаза каждый час какими-то жуткими жгучими каплями, найденными в аптечке - не помогло. Следующие два дня по 3 раза в день мазала глаза какой-то мазью, найденной там же, а также периодически протирала заваркой. Улучшения были незначительными. Утром 4-го дня я чуть было не впала в отчаяние - ничего не изменилось. Тогда мною и была приобретена хвалёная интернетом тетрациклиновая мазь. В первый день наблюдались улучшения - по крайней мере белки уже не были красными и глаза уже практически не слезились. (Решила первые два дня использовать её по три раза в день). На второй день ситуация не изменилась, но к моему глубочайшему сожалению, вечером глаза очень сильно зачесались, заслезились, снова появилось ощущение песка. Ночью проснулась по той же самой причине, а на утро в зеркало смотреть было страшнее, чем в самый первый день моей болезни. (Видимо таким образом у меня проявилась непереносимость к каким-то компонентам препарата). Что-то предпринимать уже не было ни сил ни желания. К тому же, в воскресенье в нашем городе к врачу ты НЕ попадёшь. Нервы сдавали, пол дня я проплакала, только усугубив ситуацию. Красные, и без того опухшие глаза опухли ещё больше. Наверное, именно так выглядят люди после недельного запоя. В итоге я надела очки и снова пошла в аптеку. Там мне посоветовали капли с антибиотиком. Если к завтрашнему дню улучшений не будет - придётся идти к врачу. Если бы знала, что будет ТАКОЕ, пошла бы сразу. ЛЮДИ, НЕ ТЯНИТЕ, чтобы потом не мучиться как я.  сообщить о нарушении
        "
"
          Антибиотик ОАО ""Татхимфармпрепараты"" Тетрациклиновая мазь глазная 1% - отзыв        "," Всем привет!С этой мазью я знакома давно. Года 4  назад у меня появился коньюктивит.Ой, как я намучилась с  ним тогда. Постоянное слезотечения, чесались глаза, выделялось что-то белое, гной, наверное. Конечно же я обратилась к врачу. Но назначенные капли не помогали.И кто-то посоветовал мне эту мазь.    
      
        
    Активен в отношении аэробных грамположительных бактерий: Staphylococcus spp. (в т.ч. штаммы, продуцирующие пенициллиназу), Streptococcus spp.; грамотрицательных бактерий: Neisseria gonorrhoeae, Bordetella pertussis, Enterobacter spp., Escherichia coli, Klebsiella spp., Salmonella spp., Shigella spp.; анаэробных бактерий: Clostridium spp.; Rickettsia spp., Chlamydia spp., Mycoplasma spp., Spirochaetaceae.Как я использовала: На ночь на нижнее веко больного глаза заложила небольшое количество мази.Честно скажу вам, все прошло за 1 день! Эта мазь неудобна тем, что после того как заложишь ее - глаз покрывается пленкой, все мутнеет.Поэтому я мазала ей на ночь. На утро все проходило. Мазала я и на вторую ночь, чтобы закрепить эффект.Для удобства применения у тюбика есть носик:    
      
        
    Это хорошее лекарство по доступной цене! 42 рубля за 10 г.Хранить мазь необходимо в холодильнике, т.к. допустимая температура хранения до 15 градусов.Надеюсь мой отзыв был полезен.P.S. Не занимайтесь самолечением, ходите к проверенным врачам, берегите здоровье! сообщить о нарушении
        "
"
          Антибиотик Lek Амоксиклав - отзыв        "," Амоксиклав выписали себе сами, да, так делать нельзя, но как обычно нет времени на поход к доктору, а лечится надо. К тому же поход к доктору тоже гарантировано в таком случае закончился бы назначением антибиотика и возможно этого же самого.Итак, принимал таблетки супруг, которого кашель мучил уже на тот момент почти три недели. Кашель был мокрый, с желтой мокротой, что говорит о том, что в бронхах поселилась бактериальная инфекция. Так что стало понятно, что без антибиотика уже не обойтись.Амоксиклав начал помогать примерно на третий день. Сначала прекратился мучительный кашель по ночам, потом постепенно начал сходить на нет и дневной. Сам супруг стал приобретать здоровый розовый оттенок и вообще оживать на глазах. Естественно, попутно еще и другая терапия проводилась, но решающим фактором, очевидно, был именно Амоксиклав.Побочные эффекты были, заключались только в ""подавленном состоянии"" и однажды с утра внезапном помутнении в глазах. Я так понимаю это была реакция со стороны нервной системы. В остальном все прошло нормально, даже дисбактериоз удалось предотвратить параллельным регулярным приемов простой, но разнообразной кисломолочки.Амоксиклав в таблетках:    
      
        
    Амоксиклав таблеткиТаблетки довольно крупные:    
      
        
    Амоксиклав таблеткиК самому антибиотику, кстати, бактерии уже выработали ""иммунитет"", поэтому в составе таблеток есть клавулановая кислота, которая разрушает защитный фермент у микробов и после их уже ""добивает"" сам амоксициллин. Поэтому и название антибиотика состоит из соединения двух наименований: амоксициллин + клавулановая кислота = амоксиклав:    
      
        
    Состав АмоксиклаваНа этом всё, всем желаю крепкого здоровья! сообщить о нарушении
        "
"
          Антибиотик Pliva Quality Сумамед (Азитромицин) порошок для приготовления суспензии - отзыв        "," Всех приветствую! Хочу сегодня немножко поведать о детском антибиотике Сумамед, а точнее про порошок для приготовления суспензии Сумамед.Антибиотиками называются вещества природного или синтетического происхождения, которые подавляют жизнедеятельность бактерий и некоторых микроскопических грибов. В отличие от антисептиков, антибиотики могут действовать не только наружно, но и быть активными внутри организма.Мамы счастливы, когда здоровы детки. А когда ребенок заболел-то какое уж тут счастье, тут на все будешь готов, лишь бы крошка скорее поправилась. Конечно, прибегать сразу к антибиотикам совсем не хочется и антибиотики сразу не всегда назначаются. Вот по каким причинам: ОРВИ, ОРЗ и прочие детские «простуды» при типичном течении (с кашлем, соплями, температурой) и без осложнений не требуют применения антибиотиков! Все они вызываются вирусами, а антибиотики на вирусы НЕ ДЕЙСТВУЮТ! Бактериальная инфекция может присоединиться к вирусной, об этом судят после 5-7 дней болезни, если нет улучшения состояния малыша.Но сейчас такие заболевания и вирусы...что справиться с болезнью без антибиотика зачастую просто не получается, или еще чего хуже, опасно осложнением течения болезни и ухудшением состояния.Успокаивает вот эта цитата из медицинской статьи:Но антибиотики не так опасны, как это зачастую расписывают в СМИ или на лавочках у подъезда. Просто необходимо вовремя поддержать микрофлору ЖКТ малыша всеми доступными средствами.Я никого ни в коем случае не агитирую к приему антибиотиков, в том числе суспензии Сумамед, просто приведу примеры лечения своего ребенка с антибиотиком и без.И какие плюсы и минусы для себя мы выявили, пролечившись несколько раз данным антибиотиком.Итак, вот так выглядит упаковка с порошком для приготовления суспензии Сумамед, вид спереди и сзади.    
      
        
    Вид с боков коробочки:    
      
        
    Открываем коробочку, вот что внутри:    
      
        
    Извлекаем содержимое: внутри находится флакон с порошком, мерный шприц и мерная ложечка. И длинная-длинная инструкция.    
      
        
    Флакон очень надежно завинчивается крышкой, которую нужно сначала нужно надавить вниз, затем откручивать. Шприц с мерными отделениями до 5 мл, и мерная ложка с делениями 2,5 мл и 5 мл., ручка у ложки сделана лягушечкой) Но мы пользуемся для приема суспензии шприцом вместо ложки , так точнее и меньше потерь.    
      
        
    Порошок занимает чуть меньше половины баночки, имеет белый цвет и клубничный аромат (я взяла клубничный, а бывает еще апельсиновый). Для приготовления суспензии к порошку нужно с помощью шприца для дозирования добавить 12 мл. воды. Взболтать. Действующее вещество порошка-обычный Азитромицин.    
      
        
    Должно получиться 20 мл. суспензии, но получается, как написано в инструкции, больше, 25 мл., для компенсации неизбежных потерь препарата. Суспензия получается белого цвета с клубничным ароматом и очень-очень сладкая с горчинкой. Ребенку все равно не нравится такая ""Клубничка"".    
      
        
    Инструкция конечно отпугивает и даже отбивает желание ее читать.    
      
        
    Показания и противопоказания:    
      
        
    Плюсом сумамеда является короткий курс лечения в 5 дней, принимать нужно 1 раз в сутки, а действует сумамед еще 2 дня после последнего дня приема.А побочных действий описано море, как в принципе во всех антибиотиках. Если бояться попробовать-то как лечиться? Пока не попробуешь-не узнаешь, подходит от Вам или нет. Например, Амоксиклав и весь амоксициллиновый ряд нам не подходит, у нас на него жуткая аллергия. А кому-то он идеально подходит. Поэтому в этом вопросе мы можем только делиться своими историями, а не рекомендовать данный препарат.А теперь я просто приведу примеры нашего лечения.Первый раз познакомились мы с Сумамедом, когда дочке был 1 год и 8 месяцев. Банальная простуда, насморк, болит горло и температура в первый день 38. Врач сразу назначила сумамед,т.к. сказала, что с таким горлом без антибиотика не обойтись. На следующий день температуры у нас уже не было, орло пришло в норму уже через 3 дня, ну а оставшийся насморк-не в счет, у нас он раньше, чем за неделю не проходит. Считаю, что помог быстро выздороветь Сумамед.Затем мы заболели в середине мая, жара как раз началась. Снова температура 38, горло красное, без насморка. Врач назначила местное лечение горла и противовирусное, без антибиотика. Первые 2 дня, несмотря на все лечение, температура не спадала. Вернее, спадала после жаропонижающего, но спустя 4 часа возвращалась вновь к 38 и даже начала переваливать за 38. А на 3-й день к вечеру температура у нас уже была 39 и практически не сбивалась. Дотянув до утра, я уже била тревогу, снова вызвала врача. Врач приехал другой и вынес вердикт- У Вас ГНОЙНАЯ АНГИНА! И как же вы допустили? Нужно было сразу принимать антибиотик, вероятнее всего, ангина была сразу требующая антибиотика!!! И теперь уже мы кололи антибиотики в уколах, 3 раза в день. А я вот и думаю, что лучше б мы Сумамед с первого дня пропили, не дошло бы до такого! Все равно без антибиотика не обошлись, зато до чего долечились!!!Потом болели мы в конце лета. Красное горло-ларингит. Началось все с ночного ""лающего"" ларингитного кашля. Назначено лечение, в т.ч. Сумамед, если будет температура 38 и выше. 38 как только поднялась, мы сразу же начали прием сумамеда, на 3-й день мы были здоровы, оставалось только подкашливание. Сумамед пропили положенные 5 дней. Кашель сохранялся. На 6-й день пошли послушаться-бронхит! И снова уколы и плюс ингаляции. Так что в этом случае Сумамед вроде и помог быстро избавиться от температуры и привести горло в порядок, но от бронхита не уберег. Не помог в общем полностью. Звезду снимаю.Болели мы и осенью. Вообще, ларингит с кашлем-наши частые посетители. Снова ""лающий кашель"", больное горло и температура за 38. Сразу начали по назначению кроме местного лечения горла сумамед и ингаляции. Через 2 дня температуры уже не было, кашляли потом еще правда около недели, но кашель сходил на нет и благополучно прошел. Считаю, что Сумамед помог.И переболели мы совсем недавно, в декабре уже. И снова любимый ларингит, ""лающий"" кашель, наши привычные уже 38. Я, уже зная, что нас ждет, покупаю Сумамед всегда заранее на всякий случай. Думала, что если и не назначит доктор антибиотик-сама все равно начну давать Сумамед. Но нам назначили. И ингаляции. И ттт, все снова обошлось, мы быстро вылечились и кашель не перешел в бронхит. заслуга это Сумамеда, или же Сумамед+ингаляции - не знаю. Но без сумамеда, я думаю, что лечение было бы гораздо дольше и трудней. Так что здесь опять ставлю плюс Сумамеду.Кому-то может он и не подходит, но нам подошел хорошо, никаких побочек у нас от приема Сумамеда нет. А для подержки кишечника мы всегда пьем Линекс, либо другие полезные бактерии. Рекомендовать какое-либо лекарство кроме врача никто не имеет права, тем более когда дело касается деток. Но если уж надо сказать здесь слово ""Рекомендую, то ладно, я его скажу, т. к. все же он нам помогает.Спасибо за внимание! сообщить о нарушении
        "
"
          Антибиотик Servier Биопарокс. ВНИМАНИЕ! В связи с летальными случаями разрешение на применение спрея ""Биопарокс"" отозвано, а его продажа запрещена. Пациентам рекомендуется не применять данное средство - отзыв        ","
    
            
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
              
                        
      
        
            
        

 Узнала об этом средстве случайно,ненароком увидев у знакомой выпавший из сумки оранжевый чехольчик с каким то содержимым.Поитересовалась.Это и оказался ""Биопарокс"".Заинтересовалась,так как горло-моё ""слабое место"",чуть что-начинает болеть и очень сильно,в итоге-приобрела.Цена у него довольно кусачая-целых 420 рублей с копейками.А объём прямо крошечный-10 мл,а хватает их на 400 ингаляций,(т.е. на 100 доз,на одну дозу требуется 4 ""пшика"").Представляет собой этот аэрозоль антибиотик фузафунгин.Имеет в комплекте несколько насадок для использования-одна для орошения горла и для трахей,и 2 для носовых ходов-одна из них для детей;а также тот самый пресловутый оранжевый чехол для удобства ношения с собой.Что могу сказать об эффективности...Может я что то делаю не так,может он не подходит конкретно мне,но помогает он мне как-то через раз..То да,то нет.По-моему более дешёвые аналоги ему совсем не уступают.Ничего особенного в нём не нашла.Единственное отличие-компактность,я его использую в те периоды когда приходится переносить простуду ""на ногах"",и ношу его с собой...На голодный желудок вообще невозможно использовать,да и вредно,сразу чувствуется ужасный дискомфорт в желудке,поэтому советую если и использовать,то ТОЛЬКО после еды. сообщить о нарушении
        "
"
          Антибиотик ОАО ""Татхимфармпрепараты"" Тетрациклиновая мазь глазная 1% - отзыв        ","
    
            
                        
      
        
            
              
                        
      
        
            
        

 С окончанием очередного брачного весеннего периода, мои собачки (их у меня двое), как полагается, принесли потомство- на двоих семеро щенят. Вроде и симпотяги получились, хоть и дворовой породы. Но началась среди них ""глазная"" эпидемия - глазки щенят начали гноиться и воспаляться, причем переболели все по очереди. Пыталась протирать глазки и чаем, и отваром ромашки, но эффект был кратковременный. Тем временем щенки подрастали, но состояние их особо не улучшалось. Тогда попробовала Тетрациклиновую мазь глазнаю 1%. Сначала 2 дня закладывала в глазки по 3-4 раза, затем -дня 4 -по 2раза для закрепления лечебного эффекта. Кстати, результат уже заметен после первого дня применения. В результате, щенки выздоровели и были благополучно пристроены в хорошие руки. сообщить о нарушении
        "
"
          Антибиотик Astellas Юнидокс Солютаб - отзыв        "," Юнидокс Солютаб принимала по назначению врача-косметолога 100мг 1 раз в день 3 месяца! эффективность лечения напрямую зависит от длительности приема. Есть отзывы людей, которые пишут, что Ю С им не помог, либо помог на время и курс их лечения длился 15-30 дней. Причем некоторые врачи именно так и назначают. Кожа полностью обновляется за 3 месяца, поэтому именно этот препарат рекомендуется пить не менее 3 месяцев для длительного результата. Юнидокс Солютаб-это доксициклин. Некоторые пьют Доксициклин. он дешевле. тем не менее побочных действий от  него больше. и не всегда он равен эффективности Юнидокс Солютаб. Про подробный состав и описание писать не буду-этой информации море в интернете. Расскажу о конкретных изменениях, которые я ощутила. В начале моя кожа выглядела так     
      
        
    постоянные высыпания, подкожные прыщи. В комплексе дополнительно был назначен Далацин 2 раза мазать на лицо днем,(подробнее за него тут)  Скинорен-вечером.  и пилинги. Подробнее о правильном курсе пилингов можно узнать здесь и здесь!В начале было небольшое обострение. Через месяц прыщи значительно уменьшились, но продолжали периодически появляться на подбородке, реже на щеках. Спустя 3 месяца мы получили такой эффект в комплексе с пилингами и наружными кремами . Везде говорится, что эффективнее избавляться от прыщей в комплексе-и это так!    
      
        
    Эффектом я, конечно довольна.О ПОБОЧКАХМногие переживают по поводу такого длительного применения. Чего-то страшного я на себе не заметила. все терпимо. К тому же доза маленькая 100мг.в день. ________________________________________________________________________________________Прошло еще 3 месяца. Высыпания все равно кое-где появляются, особенно если выпью алкоголь. Но такого ужаса, который был уже нет.  сообщить о нарушении
        "
"
          Антибиотик KRKA  Нолицин - отзыв        "," Около полутора лет назад сильно промерзла, застудилась и как следствие  - цистит. Боли были адские. Позывы сбегать в туалет - через каждые 10-15 минут.  Сначала наблюдалась у одного врача. Мне прописали бисептол и еще что-то. Помогает конечно, но вот желудок после всего этого надо было лечить.Но вот примерно полгода назад с той же проблемой пришла к другому врачу. Сказали пить Нолицин, 2 раза в день по 1 таблетке утром и вечером либо за час до еды, либо через два часа после. Что это за таблетки, чем поможет и какие побочки - я на тот момент не знала. Да меня и не интересовало уже ничего. Я была готова пить все подряд - лишь бы помогло. После приема первой таблетки минут через 40 почувствовала облегчение  - боль отступила и в туалет уже не так хотелось бежать. Я даже ночью поспать смогла! правда часов в 5 утра все началось опять... После приема второй таблетки - перестала часто бегать в туалет. И боль почти стихла. Третья таблетка вообще избавила от всех симптомов. Но я как честный больной пропила эти таблеточки 3 дня как мне и прописали. Хоть Нолицин  антибиотик, но мой желудок не страдал, как после Бисептола. Но я все равно придерживалась диеты (ничего сладкого, жирного, жареного, мучного). Единственный минус - большая таблетка. Приходилось ломать, что бы нормально проглотить, иначе казалось что где-то в горле застревает. сообщить о нарушении
        "
"
          Антибиотик Pliva Quality Сумамед (Азитромицин) порошок для приготовления суспензии - отзыв        "," Как всегда, в преддверии праздников или в самый их пик, мы с сыном любим приболеть. Да так, что бы с температурой, ломотой в теле, с бронхитом и хорошим насморком. Пьём разные антибиотики, но встаём на ноги, как правило, от 3-х до 5-ти дней. Сыну выбираю более качественные, себе бюджетные варианты. И знаете, иногда СОВСЕМ ДЕШЁВЫЕ препараты, ну совсем, в пределах 100 рублей помогают лучше раскрученных и за рекомендованных дорогущих. Но у них есть существенный минус - их сложно найти в аптеках. Либо уже разобрали, либо вообще аптечный пункт не заказывает недорогие - не выгодно.В этот раз, я лежала в лёжку и лекарства мне принесли по просьбе. Обычно я выбираю в виде таблеток и без ароматизаторов, отдушек и вкусовых добавок. Ну, что купили, то купили.Принесли мне Сумамед форте 200/5 мл.     
      
        
     Первое, на что я обращаю внимание, это производитель. В аннотации указана Республика Хорватия, пойдёт. Главное, что бы не Индия или Китай. Такое я ребёнку не дам, но сама слопаю. Существенным минусом считаю, вкусо- и арома-добавки. Но некоторым детям, не впихать лекарство без этих ухищрений, мой же съест любую горькую таблетку и добавки попросит.Сама суспензия приятная на вкус и запах, но очень густая, мне было сложно дозировать мерным шприцем. Так же в коробочке была весёлая ложечка, в неё вообще нереально было добыть антибиотик.    
      
        
        
      
        
    Суспензия густая и липкая, хранится в холодильнике, от этого ещё больше загустевает.Принимали 5 дней, все симптомы ""сошли на нет"" за это время. Спала температура, лающий кашель прошёл, горло стало чистое и зелёные выделения из носа прекратились. Осталось долечить бронхит.И вроде бы всё хорошо, все должны быть довольны, если бы не побочки. Одной из самых сильных был дисбактериоз, начался на второй день. Бифидумбактерин - пили как святую воду 3 раза в день, стул нормализовался спустя неделю по окончании лечения. Далее у сына появился кандидоз полости рта, аллергическая сыпь, боль в животе, метеоризм, вздутие.Не знаю как и сказать, нам не подошёл, наверное. Слышала о нём много хвалебных од, не впечатлил. Ну, только если побочными эффектами. Считаю, что есть препараты лучше и дешевле, мне это лекарство обошлось в 600 с лишним рублей. И на лечение осложнений ушло ещё больше. сообщить о нарушении
        "
