"","name","review","type"
"1","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        "," Когда моему сыну было около 3 лет, у него началась астма. Приступов, как таковых, не было, но был постоянный сухой кашель с посвистыванием вечером перед сном, то есть, днём он не кашлял вообще, но мог чихать, тереть нос руками. Когда сдали кровь на аллергены, все стало ясно - у него сильнейшая аллергия на нашу кошку!Но когда мы отправили кошку жить к бабушке, астма, естественно, никуда не делась. Теперь, малейший вирус провоцировал астматическое обострение. Так мы и познакомились с гормональным лекарством для ингаляций Пульмикорт.    
      
        
        
      
        
    Условия хранения и использования    
      
        
    Контейнер с лекарствомИзначально хватало трёх ингаляций, чтобы кашель сошёл на нет, но, к сожалению, сейчас нам требуется уже больше ингаляций, да и дозировку иногда приходится увеличивать.Одно время, пульмонолог назначал нам курс Пульмикорта на целых 6 месяцев. Принимая препарат в течении такого длительного срока, было сложно потом его бросать - ведь он вызывает привыкание, и дозировку нужно уменьшать очень постепенно!Кроме того, один раз мы натолкнулись на подделку: начали новую пачку, дозировка оставалась прежней, все делали как обычно, но спустя 1,5 дня таких ингаляций, сын опять закашлял. Как будто ничего и не дышал! Купили другую упаковку - и все опять прошло!Сейчас я покупаю Пульмикорт в дозировке 0,5мг - у меня тоже периодически проявляется астма, использую его и для себя. Мне помогает лучше, чем Серетид.Открытый контейнер лекарства храню в холодильнике, в ячейке для яиц. Использовала иногда и больше, чем через 12 часов, все было нормально. Можно ещё вообще сам контейнер не открывать, а набирать нужное количество лекарства, прокалывая контейнер стерильным шприцем, тогда точно минимум микробов попадёт в раствор.А вообще, конечно, лучше, чтоб такое лекарство вам и вашим деткам никогда не пригодилось! Здоровья вам! сообщить о нарушении
        ","пульмикорт"
"2","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        ","Опыт использования:несколько раз
Стоимость:1200 рублей
 С Пульмикортом я познакомилась когда сыну было 3 года и мы попали на скорой в детскую больницу с бронхитом. Почему уехали в больницу, потому что назначенный педиатром препарат Стоптуссин в каплях ( я про него уже писала отзыв) нам не то чтобы не помог, а мне кажется только усугубил ситуацию. Ребенок стал тяжело дышать со свистом, мы конечно сразу вызвали скорую. Нам сразу сказали , что у сына острый бронхит. И первым лекарством которое нам дали был как раз-таки пульмикорт, точнее ингаляция с пульмикортом.Вот собственно он:    
      
        
    Немного о препарате:Торговое название:Пульмикорт (Pulmicort)Лекарственная форма:суспензия для ингаляций дозированнаяСоставВ 1 мл суспензии содержится:Активный ингредиент: будесонид (будесонид микронизированный) 0,25 мг или 0,5 мг.Вспомогательные ингредиенты: натрия хлорид 8,5 мг, натрия цитрат 0,5 мг, эдетат динатрия 0,1 г, полисорбат 80 0,2 мг, лимонная кислота (безводная) 0,28 мг, вода очищенная до 1 мл.Фармакотерапевтическая группаГлюкокортикостероид для местного применения.Показания к применению• Бронхиальная астма, требующая поддерживающей терапии глюкокортикостероидами.• Хроническая обструктивная болезнь легких (ХОБЛ).• Стенозирующий ларинготрахеит (ложный круп)Противопоказания• Повышенная чувствительность к будесониду.• Детский возраст до 6 месяцев.Способ применения и дозыДоза препарата подбирается индивидуально. Рекомендуемая начальная доза:Дети от 6 месяцев и старше: 0,25-0,5 мг в сутки. При необходимости доза может быть увеличена до 1 мг/сутки.Взрослые/пожилые пациенты: 1-2 мг в сутки.В детской больнице нам 2 раза делали ингаляцию с пульмикортом, и даже после одной ингаляции я увидела, что ребенок стал легче дышать, не было свистов и ребенок ночь спал спокойно.Еще раз нам пришлось столкнуться с этим препаратом через пол года, когда сыну поставили диагноз острый ларингит. Педиатр прописала ингаляцию вечером и утром на следующий день с пульмикортом. Доза 0,25 - при этом не разбавлять физ.раствором. Лающий кашель, который был у сына при ларингите через день уже стал меньше. Конечно это не единственный препарат , который мы принимали при ларингите, но думаю он оказал большую роль в выздоровлении сына. Не смотря на то, что это гормональный препарат, я го рекомендую, так как он оказывает местное действие .   сообщить о нарушении
        ","пульмикорт"
"3","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        ","Опыт использования:несколько раз
 Конечно, Пульмикорт - средство весьма эффективное. Даже по сравнению с другими препаратами этой группы. Я лечу им малыша от кашля (допустим, бронхита, так как наши врачи диагнозы не уточняют). Того самого кашля, который вырастает из банального насморка. А вообще, конечно, Пульмикорт применяют и при лечении более серьезных проблемах и заболеваниях бронхов и легких, вплоть до последствий ИВЛ.Кашель для нас - явление неприятное и надоедливое, а еще и затяжное, если его неправильно лечить. С Хлоридом Натрия (он же - физраствор), Лазолваном или его аналогом - Амбробене, лечение может затянулься. А вот при подключении Пульмикорта - процесс выздоровления заметно прогрессирует.Значит мы делаем три ""подхода"" в день. Утром - Лазолван (или пр. подобные средства) и физраствор (1:1). Днем - Пульмикорт. Вечером повторяем утренний опыт.Так нам советовала врач-имуннолог. Такой метод и эффективен, и побочные действия Пульмикорта сведены к минимуму.Побочных действий немало и они небезобидны:Раздражение слизистых оболочек глотки и полости рта, кандидоз, бронхоспазм (для профилактики - сочетание ингаляций с бета-2-адреномиметиками). Стероидные угри, жжение, зуд, раздражение, сухость и атрофия кожи, стрии, гипертрихоз, вторичное инфицирование пораженного участка кожи, гипопигментация. При длительном применении и/или при нанесении на большие поверхности возможно развитие системных побочных эффектов.Мы делали ингаляции с Пульмикортом 5 дней. И я заметила на пальчике у сына небольшой прыщик!    
      
        
     До этого такого не встречала на его коже ни разу. Конечно, и не факт, что всему виной - Пульмикорт. Но злоупотреблять препаратом не стоит точно.Пульмикорт вы найдете не во всех аптеках города. Цена за коробку - чуть выше 1000 рублей, но мы не покупаем целую коробку. Его продают и по 5 штук в упаковке. В такой.     
      
        
    В районе 300 рублей.Оформление раствора цивилизованное и практичное, что еще больше увеличивает стоимость этого лекарства.    
      
        
    Подводя итог, я хочу сказать, что Пульмикорт стоит своих денег и очень эффективен. А так же безопасен при уместном использовании и в строго определенном количестве. Самолечение с такими препаратами действительно опасно. сообщить о нарушении
        ","пульмикорт"
"4","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        "," Кто болел трахеитом, поймет. Это ужас, кашель со рвотой, ночной лающий, раздерающий кашель. Синеющее лицо, невозможность сделать глоток воздуха. невозможность вылечить быстро . Ребенок измучился весь. Писала бы еще кучу всего гадкого про него . Перепробовали просто все, тут на наше счастье врач скорой прописала инголяции с пульмикортом 4 дня на ночь. Штука,конечно, опасная. Самим назначать нельзя!!!!!  На 2  утро ребенок почти перестал кашлять, после 4 пошел мокрый кашель в 70раз реже по частоте .Ночью вообще не стала кашлять. Я безумно благодарна ему. Нам ничегошеньки уже не могло помочь, а он спас. Побочек не было,ттт, может потому что вс делали п инструкции и всео 4 дня. Жаль,что моей мам н посоветовали, когда она болела 2 месяца трахеитом. Не болейте. Здоровья деткам нашим.  сообщить о нарушении
        ","пульмикорт"
"5","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        ","Опыт использования:год или более
Подтверждающие документы
    
            
                        
      
        
            
        


 В своих отзывах я нередко пишу, что мой ребенок довольно часто болеет. Точнее в последнее время стал болеть чуть меньше благодаря соляной лампе, но тем не менее. Гормональные ингаляции небулайзером для нас не редкость. И теперь мне хотелось бы поделиться отзывом о препарате пульмикорт для ингаляций для детей. Думаю, будет многим полезно._____________________________Основная наша проблема с года - это осложнения ОРВИ в виде обструктивных бронхитов и ларингитов. Поверьте, обычный бронхит и рядом не стоят рядом с обструктивным или с ларингитом.Самое страшное в этих состояниях - спазмы. Спазмы бронхов или гортани. Когда ребенок закашливается едва ли не астматическим кашлем или вошел в приступ лающего кашля. Это значит, что есть спазм и отек. Иногда получается купировать это состояние заранее, а иногда приходится принимать экстренные меры.Чаще всего такие приступы случаются после сна или во сне, когда мокрота застаивается, когда пошел спазм, когда кашель есть, а выйти мокрота не может.Нужно снимать отек и спазм. Снимаются они гормонами и только ими.Бояться гормонов не стоит. Знаю, что для многих мам антибиотики и гормоны - это нечто страшное и ужасное. Но бояться их не нужно. Если такой спазм не снять ингаляцией, будет только хуже и придется вызывать скорую, которая уколет как минимум дексаметазон, а как максимум преднизолон.Те же ингаляции с пульмикортом для детей действуют только местно, никакой опасности не несут. Гормональные ингаляции - это совсем не то, что гормональные уколы!_______________________________Далее в отзыве я буду писать о пульмикорте и о лекарствах, с ним связанных. И чтобы не перегружать отзыв, ссылки на эти лекарства дам сейчас списком:Дексаметазон - гормональный укол, если не успели или нет возможности ингаляции.Фликсотид - гормон в небулах, идентичный по действию с пульмикортом.Гидрокортизон - гормон в ампулах для ингаляций при ларингоспазме.Ректодельт - свечи с преднизолоном.Беродуал - бронхорасширяющее лекарство.Вентолин - бронхорасширяющее тоже.________________________ Подробнее о пульмикорте. Это гормональный препарат, глюкокортикостероид.Основное показание - бронхиальная астма. Это по инструкции. Но на практике пульмикорт прописывают при обструктивном бронхите или при других диагнозах. Например, в последний раз мы дышали пульмикортом при ларинго-трахеите.Пульмикорт продается в пластиковых небулах.Цена одной небулы зависит от дозировки:0,25 мг/мл стоит примерно 25 грн за небулу. Обычно назначается 1 мл пульмикорта смешать с физ. раствором. То есть небулы хватит на 2 раза.0,5 мг/мл стоит примерно 32 грн за небулу. Я покупаю именно такую дозировку, чтобы брать по 0,5 мл и растянуть одну небулу на 4 раза.    
      
        
    пульмикорт для ингаляций, небулы Как делать ингаляции с пульмикортом ребенкуПульмикорт разводится с физ. раствором. Пропорции вам скажет врач!!! В 4 года мы разводим на 2 мл физраствора 1 мл детской дозировки или 0,5 мл взрослой дозировки пульмикорта. Как разводить детям помладше - не подскажу.Пульмикорт - серьезный препарат, дышать им нужно по схеме, а не просто так от случая к случаю! по действию это аналог фликсотида.Чтобы отмерить нужное количество суспензии, прокалываю небулу шприцем-двойкой или инсулиновым.    
      
        
    пульмикорт для ингаляций, небулы Внимание! Если вам назначили дышать беродуалом (или вентолином) и пульмикортом, то сначала делаете ингаляцию с беродуалом (вентолином), а минут через 10-15 пульмикорт, а не наоборот.Если только пульмикорт, то дышите пульмикортом, естественно, не забывая разводить его с физ. раствором.Если помимо приступов кашля со спазмами есть еще и ларингитный лающий кашель и врач в назначении написал еще и ингаляции с гидрокортизоном, то делается так: пульмикортом дышите как назначено, по схеме, а гидрокортизон только по необходимости, снимая приступ. Комбинировать эти гормоны можно, если есть острая необходимость. Они не зависят друг от друга.Пример: мой сын проснулся утром с ужасным кашлем, глубоким, мокрым, который был как-будто в груди, но не мог выйти наружу, да еще и с астматическими нотками, то есть приступообразным. Мы собирались в тот день к врачу, но нужно нужно было что-то делать здесь и сейчас. Я испугалась и сделала ему сначала ингаляцию с беродуалом, чтобы открыть бронхи, через 10 минут ингаляцию с пульмикортом, чтобы снять спазм. Стало немного лучше. Но через полчаса он стал кашлять лающим кашлем. Ни теплое питье, ни влажный воздух не помогли. Пошел ларингоспазм, это страшная вещь, ребенок закашливается раздирающим горло лающим кашлем и не может откашляться. Пришлось срочно сделать еще и ингаляцию с гидрокортизоном, которая купировала этот спазм.Придя на прием, я рассказала всё как было, на что врач сказала, что я все сделала правильно, потому что исходя из того, что она прослушала, иначе ребенок бы не вышел из спазма и пришлось бы вызывать скорую с дексаметазоном.После этого нам назначены были ингаляции с пульмикортом два раза в день, утром и вечером. А гидрокортизон по необходимости.    
      
        
    пульмикорт для ингаляций, небулы Но пульмикорт так хорошо и быстро снимал приступы утреннего закашливания, что больше ничего и не понадобилось. Был ларинго-трахеит, поэтому беродуал был не нужен, дышали просто пульмикортом.До этого нам пришлось узнать о пульмикорте с год назад, при обструктивном бронхите. Тогда дома не оказалось фликсотида, зато была одна небула пульмикорта, купленного ""на всякий случай"" непонятно зачем. И она пригодилась) После этого врач велела уже и продолжать пульмикорт, чтобы не менять гормон.Обструкция ушла довольно быстро. Долечивали отхаркивающими и мокроторазжижающими средствами. ___________________________________Мои отзывы о приборах, которые помогают нам бороться с болезнями и проводить их профилактику:ИнгаляторУвлажнитель воздухаСоляная лампа___________________________________ Рекомендую ли я ингаляции с пульмикортом для детей? Конечно, если их назначил врач. Просто так гормоны никто не назначит. Более того, вряд ли кто даже ингалятор купит, если ребенок болеет редко и легко выкарабкивается. А если у вас этот прибор все-таки есть, то скорее всего с дыхательными путями у ребенка проблемы имеются. И гормональные ингаляции для него необходимы._________________________________________________________________________________________Сколько можно заработать на сайте Irecommend, какие отзывы лучше всего просматриваются, рекомендации по написанию отзывов, обновление статистики за год на сайте, сколько я зарабатываю и какие начисления считать нормой. Вся правда об ОБЗОРАХ и мое мнение насчет ОМ._________________________________________________________________________________________ сообщить о нарушении
        ","пульмикорт"
"6","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        "," <U+1160><U+1160>Пульмикорт - препарат для ""холодных"" ингаляций в небулайзере, назначался нам педиатром дважды. И оба раза успешно справлялся с жутким кашлем, появлявшимся во время, казалось бы безобидных рядовых простуд. В отзыве вы найдете информацию о: течении болезней, дозировке препарата, динамике улучшений, особенностях хранения и прочее.    
      
        
    Пульмикорт для ингаляций. <U+1160><U+1160>ПУЛЬМИКОРТ<U+1160><U+1160>Пульмикот дорогостоящий препарат, цена одной пачки достигает 1000 рублей (например у нас за 0,25 мг/мл - 993р. , а за 0,5 мг/мл - 1467р.). Но к счастью, его продают ""поштучно"", вернее пластинами, которые находятся в индивидуальных упаковках. По пять контейнеров в каждой. При покупке в таком виде, инструкцию как правило не дают. По одному контейнеру не продают, потому что после вскрытия упаковки резко сокращается срок годности. Пульмикорт продается без рецепта, наш педиатр сказала, что мы и сами его можем покупать для экстренной помощи.    
      
        
        
      
        
    <U+1160><U+1160>Обычно мне требуется три контейнера, но приходится приобретать пять. В первый раз, пригодились все, потому что и у второй дочери ухудшилась ситуация с кашлем, поэтому делала ингаляции и ей. Во второй раз: препарат остался ""про запас"".<U+1160><U+1160>Контейнеры без каких-либо сложностей отделяются от основной ленты в ручную, без использования ножей или ножниц. Сам контейнер вскрывается поворотом ""шапочки"", которая обратно не привинчивается. В контейнере находится 2 мл. препарата.    
      
        
        
      
        
    <U+1160><U+1160>Возраст детей: 2 года 4 месяца. Дозировка: 1 мл. Пульмикорта (0,25мг/мл) + 2 мл. физ.раствора. Ребенок должен ""выдышать"" все. В такой дозировке ингаляция длится минут десять. Две ингаляции в день, в течении трех дней. Как нам сказала педиатр: ""если уж начали и сделали одну ингаляцию, то нужно пройти весь курс"".<U+1160><U+1160>Использовав одну дозу в 1 мл., вскрытый контейнер я хранила в холодильнике, использовать вторую дозу нужно в течении двенадцати часов. У меня выходило так, что до ""истечения срока годности"" оставалось минут 5-10. Чтобы не запутаться я порой записывала время в которое был вскрыт контейнер.    
      
        
    <U+1160><U+1160>После вскрытия, нужное количество препарата я набирала инсулиновым шприцем, иглой, но через вскрытое горлышко контейнера. Можно, конечно не вскрывать ""ампулу"", а протыкать ее иглой, так и хранить будет удобнее, меньше вероятность, что из контейнера выльется лекарство. Но мне не хотелось протыкать. А из уже вскрытого контейнера просто выливала нужное количество в емкость небулайзера.    
      
        
    Контейнер неустойчив.  <U+1160><U+1160>ПЕРВЫЙ СЛУЧАЙ (с антибиотиком)<U+1160><U+1160>Первый раз Пульмикорт был назначен нам при сильном, грубом кашле, голос у ребенка был осипшим. Предшествовавшей ночью, перед сном, ребенок прокашлял чуть ли не целый час. При этом ни помогали ни сиропы, ни промывание носа, ни ингаляции без препаратов. Ночью дочь просыпалась раз шесть. На следующий день мы вызвали врача, которая назначила нам антибиотик (Сумамед), другой сироп (Джосет) и ингаляции с Пульмикортом. Насколько поняла, инфекция была не в легких, а в верхних дыхательных путях. А врач сказала, что препарат снимет спазм.<U+1160><U+1160>Этой ситуации предшествовало повышение температуры до 38,5, после того как температура прошла начался кашель. Ребенок был осмотрен педиатром, которая сказала что кашель провоцировался стеканием соплей по задней стенке горла. Но буквально за день кашель перерос в описанный выше ужас. Поэтому я придерживаюсь мнения, что тянуть не стоит, если у ребенка кашель его должен как можно быстрее послушать врач. Насколько я заметила, у моих маленьких детей заболевания дыхательной системы прогрессируют очень быстро.<U+1160><U+1160>После ингаляции кашель по волшебству не исчез. Но он стал реже, влажнее, легче, мягче. В ночь после первого дня приема ребенок проспал спокойно, кашлял изредка при этом не просыпаясь. В последующие дни кашель шел на убыль. Но вот голос, на второй и третий день, оставался сипловатым. В целом, наблюдалось явное улучшение ситуации и самочувствия детей. <U+1160><U+1160>ВТОРОЙ СЛУЧАЙ (без антибиотика)<U+1160><U+1160>Второй раз мы принимали Пульмикорт без поддержки антибиотиком. Положительный эффект тоже был. Снова наша простуда очень быстро дала осложнения. В первый день болезни была температура 38,6, но она быстро спала. На следующий день был легкий сухой кашель и стандартные рекомендации педиатра: Лизобакт, Мираместин, ромашка, минералка, промывание носа. Так как в день вызова педиатра температура у дочери была 37 с копейками, то ингаляции даже минералкой мы не делали, потому что врач сказала, что при t их делать нельзя (от этого кашель может стать жестче). Но уже ночью кашель стал лающим, появились жуткие хрипы и сипы. У меня на руках сидел маленький Дарт Вейдер, издававший страшные звуки при каждом вдохе и выдохе. Я сделала ингаляцию минералкой, дала сироп Джосет и капли Зиртек (они снимают отек). Все стало помягче. На следующий день педиатр послушала ребенка, легкие нормальные, слегка жесткое дыхание. Она сказала, начать проводить ингаляции с Пульмикортом если снова будут хрипы и сиплость. Плюс дополнительные назначения: Зиртек на 3-4 дня, Джосет, Пульмикорт. И так как хрипы были, хоть и легкие, то я начала ингаляции с препаратом. Потому что ситуация могла усугубиться в мгновение.<U+1160><U+1160>И снова, после ингаляций кашель стал влажнее, мягче, легче и реже. Следующую ночь мы проспали без кашля. Но проснулись очень рано, покашливали, похныкивали, слегка похрипывали. Ингаляция, теплое питье и сироп все смягчили. Днем ребенок чувствовал себя хорошо, хоть и изредка покашливал. А вот вечером, перед второй ночью, дочь кашляла много (не тем жутким кашлем, который был изначально), но ночь прошла спокойно, а утром было пробуждение без слез и кашля. На третью ночь кашель снова вернулся, но был легко успокоен теплым питьем, ""запшикиванием носа"" и сиропом Бронхорус (он ""слабее"" ""Джесета""). Последующие ночи сон был без кашля. В течении дня кашель был очень редким, практически сошел на нет. <U+1160><U+1160>ЗАКЛЮЧЕНИЕ<U+1160><U+1160>На основе полученного опыта я могу сделать для себя такие выводы, о том что Пульмикорт:эффективно борется с лающим кашлем, уже после первой ингаляции наблюдаются заметные улучшения;обладает высокой самодостаточностью, он справляется с кашлем, одинаково хорошо как в паре с антибиотиком, так и без него. <U+1160><U+1160>С побочными эффектами мы не столкнулись. Лекарственные препараты для детей:Жаропонижающий сироп Нурофен - делаем литическую смесь дома, в таблетках.Лизобакт - ноль эффекта. Генферон Лайт - в лечении кашля у маленького ребенка.Антибиотик Хемомицин - аналог Сумамеда.Сироп Бронхорус - дешевый аналог Амбробене.Сироп Линкас - при легком кашле.Спрей АкваМарис - для промывания носа, как вскрыть флакон.Жаропонижающие свечи Нурофен - жгучие штучки.<U+25CF> Мой профиль <U+25CF> Заработок: на Irecommend, на Яндекс.Толока, на Lookmytrips.com, на Врединке. сообщить о нарушении
        ","пульмикорт"
"7","
          Лекарственный препарат AstraZeneca Пульмикорт (суспензия для ингаляций дозированная) - отзыв        "," Всем привет.Хочу поделиться опытом применения гормонального препарата Пульмикорт.    
      
        
    Ничего нет страшнее болезней детей, и ладно если это банальный насморк, но бывает, что даже простуда выливается серьезными осложнениями. Мой младшенький сынок часто подхватывает вирусы от старшего, который ходит в детский сад. Болеют они по-разному, и конечно, чем младше ребенок, тем сложнее он переносит болезнь. Раньше я только в статьях читала о таком осложнении как ларингит, никогда не думала, что нас такое коснется. А коснулось!В один из обычных дней, уложила сыновей на дневной сон, слышу, страшный кашель, я даже и не поняла, что это кашель. Захожу в спальню, мой младшенький сидит в кроватке и будто лает, хрипит, еле дышит!Меня трясло от испуга, в жизни так не боялась ни за кого. Не нужно быть доктором, чтобы понять что у сына случился стеноз гортани, кашель лающий, дышит тяжело-это ларингит. В больнице нам оказали помощь, сняли отек ингаляциями, тогда я еще не знала какими. В голове крутились страшные картины, как сын задыхался на моих руках. Мы пролечились и нас выписали.На этом приключения не закончились. Подобное повторилось вновь. Я бегом за ингалятором, дала подышать ребенку физ.раствором, открыла форточку, ему стало легче. Благо, к тому времени я прочла не мало статей на эту тему. Ночь мы пережили довольно неплохо,в скорую на этот раз уже не звонили, так состояние было куда лучше чем в первый раз. Утром отправились на прием к врачу, она прописала нам гормональный препарат Пульмикорт суспензию (действующее вещество будесонит) для ингаляций. Предупредила, что вряд ли это последний наш приступ, к сожалению он может повторится вновь, велела всегда держать на готове данный препарат, ибо скорая может не успеть доехать, а первую помощь мы сможем сами оказать.Прошел с тех пор год, мы и думать забыли что такое стеноз. И тут опять!Ночью наш сынок стал ""лаять"", дыхание затруднилось. Я бегом к аптечке, препарат залила в ингалятор, добавила физ.раствор и дала подышать сынуле. Минут через 15 стало значительно легче. Правда я еще антигистаминное средство дала, чтобы снять отек. Как же я была благодарна тогда доктору, по совету которой у нас дома всегда есть этот спаситель Пульмикорт!Расскажу подробнее о препарате. В его составе активный ингредиент будесонит. Препарат, как я уже писала гормональный. Применяется для лечения хронической обструктивной болезни легких, бронхиальной астмы, стенозирующего ларинготрахеита (ложный круп). Очень удобно что сам препарат разлит на дозы по 2 мл, когда его срочно нужно принять (в виде ингаляций) не нужно тратить драгоценное время чтобы отмерить дозу.    
      
        
     В возрасте двух лет разовая доза, прописанная врачом составляла как раз 2 мл (0,25 мл). Следует отметить, что резко прекращать прием препарата нельзя, дозу нужно уменьшать постепенно. Никаких побочных действий я не наблюдала, препарат хорошо справляется со своей задачей.Кстати после ингаляции обязательно нужно прополоскать водой полость рта для снижения развития кандидоза ротоглотки. Я давала сыну попить воды после ингаляций.В инструкции очень подробное описание того, как его использовать. Конечно такое серьезное лекарство нельзя применять без рекомендаций врача.В заключение хочу добавить, может кому пригодится, врач из частной клиники меня предупредила, что если часто использовать гормональные препараты для снятия приступа, то они могут перестать помогать. Страшила тем, что в таком случае может помочь только инъекция, которая сделает приехавшая скорая. Меня такая картина пугает, я боюсь что Пульмикорт вдруг перестанет действовать тогда, когда он будет очень нужен. Очень надеюсь сынок вскоре перерастет эту болезнь.Хочу пожелать всем и в особенности нашим деткам здоровья! сообщить о нарушении
        ","пульмикорт"
