"","name","review","type","adr"
"1","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Моя мама очень много лет страдала от диабета. Лечилась назначаемыми в поликлинике препаратами. Помимо этого сидела на диете. Тем не менее вес ее очень сильно рос. При росте 167 она весила в какой-то момент 110 кг. Как-то врач-эндокринолог заболела и из другой поликлиники пришла ее заменить другая врач. Глянув на маму и на анализы, которые были традиционно плохие, несмотря на все диеты и лечение, врач выписала сиофор. Для начала она назначила по одной таблетке. Со второй неделе по две таблетки. Мама начала пить. Первую неделю у нее была тошнота, потом все прекратилось. Мама стала себя чувствовать намного лучше. Появились силы, она стала больше двигаться, а в какой-то момент, встав на весы она обнаружила, что похудела на пять кг. Кроме того она обнаружила значительное снижение аппетита. За пол года вес снизился на 19 кг. Затем остановился. Тем не менее, хоть лишний вес еще оставался, сахар в крови упал до нормы. Иногда он с утра показывал даже 4,5. Когда мама сдала сахарную кривую, то врач пошутила, что после 10 лет болезни ее можно снимать с учета.  Однако этот препарат подходит далеко не всем, видимо лечащая врач из-за этого и боялась его назначать. У многих бывает от него рвота, сильный понос, слабость и очень плохое самочувствие. Сразу оговорюсь, что прием препарата людьми с нормальным сахаром в крови, но лишним весом к снижению веса не приведет! Хотя сейчас его стали назначать и при поликистозе яичников. И как любой препарат его надо принимать по назначению врача. сообщить о нарушении
        ","сиофор","1"
"2","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Девочки, после того, как выписалась из больницы, первое, что хочу сделать - это предостеречь вас от похудения с помощью этого препарата.Моя предыстория... За 2 последних года я поправилась на 15 кг, что для меня, при моем росте, стало критичным. Первая мысль, пришедшая в голову (как у многих, желающих похудеть) была ДИЕТА. Что только мой организм не пережил... Дюкана, Аткинса, Кремлевская, Просто голодание.. Эффект был, но кратковременный. Организм все равно протестовал... В итоге, мое желание худеть довело меня до кабинета врача-эндокринолога. После анализов на гормоны, анализа на сахар( который был в норме) и биохимического анализа крови, врач расписала мне подробную диету и назначила флуоксетин (для ""УМЕНЬШЕНИЯ"" желания ""заедать"" стресс) и сиофор 1000 по 1 таб. / 2 раза в день. Рацион питания был достаточно полон, только уменьшились порции. Так я начала ""ХУДЕТЬ""!!!Первый месяц прошел отлично. Вес и правда уходил. Потеряла 6 кг. К диете добавила аквааэробику, так как воду очень люблю, да и бассейн прямо под домом. Проблемы начались на второй месяц...В один чудный прекрасный день я как обычно пришла на тренировку. Перед аэробикой решила чуть поплавать. В бассейне пошла кровь из носа. И только я выхожу из бассейна, я резко падаю в обморок... Когда пришла в себя, лежала уже в мед.кабинете. Давление 140/90, пульс 98. Голова кружилась страшно... Кое как дошла до дома. Дома стало хуже, закружилась голова, затошнило. Муж вызвал скорую... Врачи скорой послушав меня, сделали ЭКГ и экспресс тест на уровень содержания ГЛЮКОЗЫ в крови... И тут у меня был ШОК (как и у врачей скорой)! Уровень сахара 1,5 ммоль/л при положенных 4,8 ммоль/л (минимум!!!). Хотя, все думали, что у меня банальный скачок давления. Меня забрали в больницу с сотрясением мозга (при обмороке ударилась головой об кафель) и гипоклимическим состоянием... Итог всему, 6 дней в больнице + 2 недели на больничном. Врач в больнице мне четко и ясно объяснил, что СИОФОР - НЕ ПРЕПАРАТ ДЛЯ ПОХУДЕНИЯ!!! Вот, что написано в инструкции:"" ПОКАЗАНИЯ — сахарный диабет типа 2 (инсулиннезависимый), особенно в сочетании с ожирением при неэффективности диетотерапии"" . Его назначают тем, у кого повышен сахар в крови, т.е. ДИАБЕТ! А похудение - это как следствие приема препарата, НО НИКАК НИ ЕГО ПРЯМОЕ НАЗНАЧЕНИЕ!! Здоровому человеку, с нормальным уровнем содержания сахара в крови, он противопоказан, так как приводит к уменьшению сахара в крови и к таким последствиям, как в моем случае! После выписки из больницы, я поехала к этому горе-эндокринологу и показала результаты ее назначений. Сказать, что она растерялась, это ничего не сказать. Назначение СИОФОРА, видимо, было у нее поставлено на конвеер. Забрав результаты и еще раз убедившись в том, что сахар был в НОРМЕ, я навсегда забыла к ней дорогу...Девочки, милые, мы все хотим быть здоровыми и красивыми! Но лучше, когда это происходит без ущерба для нашего БЕСЦЕННОГО здоровья! Пусть мой опыт предостережет вас от такого опрометчивого шага! Берегите себя и свое здоровье! сообщить о нарушении
        ","сиофор","1"
"3","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Хочу рассказать свою историю о том, как я долго шла к цели и почти ее добилась.С декабря 2014 года я начала обращаться к врачам гинекологам по причине отсутствия месячных по несколько месяцем. Это меня насторожило так как раньше все было стабильно, примерно в одно и тоже время. Но когда поднялась тема о детях, я добросовестно начала заниматься своим здоровьем, посещала ни одного врача, выполняла все рекомендации. Делала периодически УЗИ, сдавала анализы, пила гормоны... Что мне только не говорили! И что у меня поликистоз яичников, и эндометриоз матки, гипоплазия матки. Мне даже хотели стимулировать яичники и отправить на ЭКО. Я решила отказаться от этих экспериментов и подумать, что делать дальше. От этого всего я очень сильно расстраивалась и не могла понять почему я, в чем причина, ведь раньше все было хорошо. Хорошо что есть близкие люди которые поддерживали меня , и говорили что все у меня хорошо, и всему свое время. И вот спустя 2 года (в сентябре 2016 года) моих походов по врачам, которые только и тянули  деньги с кармана, я в последний раз пошла на УЗИ ( на фолликулометрию) и посмотреть самой как обстоят дела. Опытный специалист ни чего хорошего мне не сказал, но говорил что эта не безвыходная ситуация, и что мне нужен хороший специалист эндокринолог. В нашем городе таких нет.... Так что он дал мне номер телефона и адрес человека из Воронежа который поможет мне в моей проблеме. С новыми силами и надеждой, что все будет хорошо, я отправилась на первый прием к этому человеку. Ее очень легко было найти , медицинский центр не далеко находится от центрального автовокзала Воронежа. Я привезла все свои бумаги по обследованию и лечению за эти два тяжёлых года моей жизни, и показала ей. И что вы думаете! Она даже не посмотрела, и сказала что ей это не нужно, и что не верит этим врачам о правильности моего лечения. Мне пришлось ей довериться и делать все, что она говорит, под ее контролем я сдала анализы на гормоны и УЗИ в городе Воронеж, и уже на следующий прием к ней и с новыми результатами она нашла причину моих недуг.Все было просто по ее словам, сказав что причина заключалась в избыточной массе тела,  связная с нарушением углеводного обмена в инсулинорезистентном сахарном диабете 2 типа. На тот момент я весила 73 кг. Для моего роста и возраста это много. Просто принимая пищу из углеводов, я истягала свою поджелудочную железу,и даже не подозревала, что сама причиняю себе вред. Она назначила мне без углеводную диету, спорт, витамины, и таблетки Сиофор 850 мг. 2раза в день после еду. И тут началось самое тяжелое , отказаться от всего того, что я так люблю. Но ради того, что бы я была здорова и могла воплотить свою мечту в реальность,мне нужно было постараться. К тому же это плюс для идеальной фигуры). Периодически я к ней приезжала на повторные приемы, и с каждым разом становилось все лучше и лучше. Я худела, была стройней, и месячные начали ходить почти как и раньше, а самое главное овуляция была постоянно. И вот в феврале 2017 года я приехала к ней надеюсь последний раз. Я весила 66кг. и это еще не придел по ее словам. Она сказала делать все тоже самое, пить Сиофор по той же схеме минимум 6 мес. и к весне приезжать к ней уже беременной. Эти слова меня вдохновляли, я была рада что она мне помогает, что поняла суть моей проблемы. И то что я хочу совсем рядом от меня. Этот препарать мне очень помог, от него небыло ни каких побочек, вижу только плюсы. Но принимать его стоит лищь по назначению врача.  сообщить о нарушении
        ","сиофор","0"
"4","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Я стремительно худею, даже несмотря на то что принимаю гормональные препараты, от которых меня обычно жутко разносит. У меня нет диабета и ни одного из заболеваний описанных в инструкции к препарату. Сахар всегда был в норме, но мой лечащий врач эндокринолог выписала мне данный препарат, чтобы вылечить поликистоз. К сожалению, прошло всего 3 месяца с начала приема данного препарата, и я еще не ходила на узи или к гинекологу, поэтому о том как эти таблетки повлияли на поликистоз сказать не могу (допишу отзыв как только схожу на прием). Но хочу поделиться ощущением от приема и  наличием приятных и не очень побочных действий.Мой врач сразу меня предупредила, что данный препарат способствует уменьшению аппетита, что приводит к потере веса. Для меня это было очень даже кстати, так как у меня на тот момент было 10 лишних кг (осталось 3 кг). Аппетит на жирные, слишком сладкие, вредные продукты Сиофор отбивает на ура, что меня очень порадовало. Первое время меня тошнило от всего того, что я ела, так как привыкла это  есть - это салаты с майонезом, макароны по-флотски, булки с колбасой, майонезом и сыром, жирные супы), поэтому я неосознанно перешла более здоровую пищу - каши, супы, нежирное мясо, морепродукты, салаты; сейчас уже нет такой реакции организма на вредности, но организм уже видимо привык и больше хочется чего-нибудь легкого и нежирного. Кстати, овощей хочется много постоянно. Вес уходит даже если я ем что-то вредное перед сном (редко, конечно, но бывает), а также несмотря на то что я недели три ела только в фастфудах (Фарфорстрит, макдоналдс, кфс, шаверма по-питерски, пиццы).Второй огромный плюс для меня - это нормальный, стабильный стул и никаких запоров. Это, кстати, тоже побочное действие. Сначала было просто расстройство кишечника, а затем организм привык и все пришло в норму.Третий плюс - месячные уже не такие болезненные. Предполагаю, что это заслуга не только Сиофора, но также и Белары КОК. Уверена, что они дополняют друг друга.Подытожим! Плюсы приема препарата очевидны - потеря веса!!!, но следует обязательно проконсультироваться с лечащим врачом, чтобы он посмотрел ваши анализы и рассчитал дозировку. Мне, кстати, рассчитали неверно. Я принимала по 850мг утром и вечером, для здорового человека, у которого сахар в норме, это очень много. Первую неделю меня колотило жутко (еще я принимала Берлитион, который усиливает действие Сиофора). Но через недели 3 все прошло, организм привык и я начала наслаждаться только плюсами от приема. Если у вас возникнут вопросы, пожалуйста, задавайте, с радостью отвечу! сообщить о нарушении
        ","сиофор","1"
"5","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Всем доброго времени суток!!!В наше время многие мучаются от лишнего веса(((Мы с мужем в последнее время много обследуемся у врачей, т. к. планируем завести малыша. И на очередном приеме у эндокренолога мужу сказали, что нужно худеть, муж при росте 170 см, весил 92 кг. Врач прописала СИОФОР 1000.    
      
        
     Так что, отзыв про сиофор буду писать исходя из наблюдений за мужем во время приема этих таблеток.Дозировку нужно постепенно увеличивать, начиная с первой недели по 500 мг, вторую неделю по 1000, а уже начиная с 3 недели по 2000 мг в день.Скажу сразу, прежде чем принимать данное лекарство необходимо сдать анализы.Цена у них вполне терпимая, 1 пачка 456 рублей (60 таблеток).Но у нас в аптеке можно покупать пластинками по 15 штук, это на тот случай когда с собой не так много денег, 1 пластинка выходит по 114 рублей. Пластинки хватает на неделю.    
      
        
    Таблетки довольно таки крупные, но для мужчин то нормально, а вот если бы их принимала я (девушка), то обязательно ломала бы из пополам.Вот подробная инструкция     
      
        
        
      
        
    Принимал он их после еды. Что касается еды, то он старался не есть ничего жирного, жаренного, мучного и сладкого.Побольше овощей, фруктов и еды на пару. Физическими нагрузками время от времени старался  нагружать себя (играл в волейбол с спортзале, качал пресс)Ощущения во время приема:  В первую неделю говорил, что особо ничего не изменилось.Во вторую неделю по утрам совсем немного подташнивало во время завтрака.После третьей недели и далее уже почти не тошнило, лишь совсем изредка. И все на этом побочные действия окончены. Никакого расстройства желудка или головокружений не было.Эффект: Буквально уже со второй недели приема вес тронулся с места. Каждый день он вставал на весы, и каждый день наблюдал за исчезновением около 200 гр))В итоге после приема 3 месяцев он скинул 10 кг. Говорит, что даже стал чувствовать себя намного лучше.  Я только смотрела на него и радовалась. Но сама я боюсь просто так начинать их принимать, хотя очень хочется.  Думаю, что вскоре я сдам необходимые анализы схожу к эндокренологу и посоветуюсь с врачем по поводу приема этого препарата.А вообще я их очень советую)) сообщить о нарушении
        ","сиофор","0"
"6","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Здравствуйте! Всем доброго времени суток!Очень хочется поделиться впечатлениями от приема препарата Сиофор 500 для похудения (более дешевый аналог – Глюкофаж 500). Буду рада очень, если мой отзыв кому-то поможет!ПредысторияВес был 110 кг при росте 160 см. пять лет назад. Чувствовала себя ужасающе! Было тяжело физически носить эту массу, хотя мне на тот период времени не было и 23 лет. Последней каплей были фотографии, сделанные с моей подругой-одноготкой. Рядом с ней я выглядела как пожилая ожиревшая одутловатая тетка.Пошла к эндокринологу. Так как думала и говорила всем, что вес у меня от болезней. Ведь я так мало ем!))) Какая иллюзия! Истратила много денег на обследование, чтоб услышать вердикт от врача, что здорова. Есть надо меньше.Начала считать калории. Кушала все, но понемногу. Занималась дома несложной аэробикой, потом пошла в спортзал. Было тяжело себя ломать. Часто дико болела голова, почему-то, на начальном этапе. Настроение скакало. Было себя жаль до жути. Хотелось плакать часто.Вес доехал до 85 кг. И застрял. На тот период времени, мне знакомая подсказала, что люди принимают Сиофор 500 от лишнего веса. Я была решительна. Без назначения врача купила этот препарат и стала пить: 2 таблетки утром, 2 таблетки вечером.Рацион я не изменила. Ела все, понемногу. Сахар и любой хлеб полностью исключила. Позволяла 2-3 кусочка черного хлеба, иногда покупала хлебцы. Масло любое ограничила. Занятия легким спортом остались. Потом перешла на тренировки Синди Кроуфорд.На таблетках я похудела до 70 кг. Примерно за 4 месяца.Мой опыт приема Сиофор 500Похудела с таблетками на 10 кг. Привыкать к ним ооочень тяжело мне было! Тошнота, потеря аппетита, нарушение стула. Через неделю организм привык и перестал так бурно реагировать на этот препарат. Кожа у меня буквально пожелтела к концу приема. Смотрю на фото того времени, свой вид мне не нравится. Наверно, сказался недостаток питательных веществ. Я ела овощи, кашу на воде, немного белка. аппетит был небольшой. есть надо! Так как таблетки понижают уровень сахара в крови, можно упасть в обморок и куда хуже, начнется лактоацидоз.Обновила весь свой гардероб. В одежде выглядела нормально. Но без одежды кожа как-то обвисла. Я сожгла свои мышцы на скудном питании без полноценного белка и тренировок! Что толку от похудения, если так же стесняешься раздеться на пляже.Врачи о препарате Сиофор 500 чтоб похудетьВыписала, в тот период времени, книгу диетолога Маргариты Королевой про похудение. Маргарита Королева пишет о препаратах Сиофор 500, Глюкофаж, а точнее о действующем веществе метформин. Прописывают эти препараты для похудения в том числе.Анализ крови при приеме Сиофора 500Я часто сдавала обычный анализ крови, когда принимала Сиофор 500, а потом, аналог, более дешевый Глюкофаж. Показания были в норме.ИтогОт препарата Сиофор 500, а потом от Глюкофажа, я похудела на 10 кг. без диет, без особых тренировок. Но я поняла, я не хочу так худеть, имея в итоге дряблое тело без мышц.Бросила я принимать этот препарат. Поправилась, без системы питания до 75 кг. Потом стала детально изучать систему похудения. Вышла на бодибилдерские сайты. Начала принимать витамины, льняное масло. Стала в норме есть белок. Ограничила простые углеводы, жиры. Тренировки. Стала весить 65 кг. Вышла замуж, забеременела, родила. И занялась собой снова.Да, для перехода на новое питание надо время и привычку. Но оно того стоит!!! На всю жизнь я приобрела здоровые привычки, любовь к спорту, выносливость, победу над дряблостью тела, над собой!Сравнительно недавно изучила систему питания Ярослава Брина. Советую людям, с подобной проблемой лишнего веса, зайти на его блог!Вчера взвесилась – мой вес 56 кг. Выдерживаю вот уже неделю тренировки Шона Ти INSANITY . Когда раньше, до автобусной остановки, тяжело было дойти, вся потом обливалась…Могла ли я об этом когда-то мечтать? Почему я это не сделала раньше? Почему?Хочется довести вес до 50 кг. Подкачать грамотно мышцы. Стоят передо мной другие задачи.Но теперь эти нюансы легко исправимы, потому что я приобрела здоровые привычки на всю жизнь.Препарат действенный. Я не могу ничего сказать против него. Поэтому поставлю – рекомендую.Я лично принимать его для борьбы с лишним весом не буду. Перед применением проконсультируйтесь с врачом! У препарата очень много противопоказаний и нюансов приема!Спасибо за внимание! Будьте здоровы! сообщить о нарушении
        ","сиофор","1"
"7","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Предыстория:У меня с 13 лет нерегулярные месячные и прочие ""приятные"" симптомы гиперандрогении - повышегое оволосение, прыщи. Сдала кучу анализов, оказалос - поликистоз яичников и гиперандрогения яичникового генеза. Очень долго я ходила по разным врачам в разных городах и мед центрах. Что мне только не назначали: пила я и Диане 35, и андрокур, и флутамид, и верошпирон, и ярину и всякие другие химикаты. Все они имели разную эффективноть и определённые побочные эффекты. В итоге попала я по направлению от гинеколога в Москве в центр планирования семьи №1 в Москве, где врач эндокринолог мне сказа: ""Я не знаю как тебя лечить!"" и посоветовала походить на консультации к другим врачам, причем не дала ни направления, ни заключения. Я психанула и решила лечить себя сама, потому что сил терпеть врачебную некомпетентность уже не осталось.В поисках решения проблемы я перелопатила кучу врачебных форумов и исследований и выяснила, что с 1999 года метформин (действующее вещество сиоформа) успешно применяют для лечения СПКЯ! Почему у нас в стране врачи не в курсе? - Я не знаю, но мне ни один врач ничего про метформин не говорил. Я сдала анализы на толерантность к глюкозе на тощак, с приемом глюкозы не сдавала, денег не было  По анализу инсулинорезистентности у меня не было, но в исследованиях говорилось, что не у всех, кому помогло лечение, она выявлялась.Во всех исследованиях - минимальная дозировка метформина 1500 мг в сутки. Больше - по назначению врача.Первую неделю нужно принимать по 500 мг в день, вторую - по 1000 мг, в третью и далее 1500 мг. Наращивают дозу постепенно, чтобы уменьшить побочные эффекты. Также обязательно принимать сиофор во время еды.Несмотря на то, что я соблюдала все инструкции, первые три дня после каждого повышения дозы у меня были побочные эффекты - тошнота, вздутие, потеря аппетита (есть воообще ничего не хотелось), боли в животе.Не рекомендуется налегать на быстрые углеводы при приёме сиофора (но кого это останавливало, да? я всё так же ем тортики и шоколадки:))Что могу сказать по результатам 3-х месячного приёма сиофора:Из плюсов:1. Месячные стали регулярные!!! Первый раз за всю мою жизнь у меня стабилизировался цикл и составляет эталонные 28 дней! Такого даже на ОК не было!2. Овуляяяцияяяя!!!!!!! Овуляция пришла! А раньше не бывало)3. Жирность кожи лица пропала!3. Я не похудела! Да, я не собиралась худеть и не похудела, потому что чтобы похудеть нужно кушать каллорий меньше, чем тратишь, и никакие таблетки не меняют этого принципа. (у меня всё ещё есть лишние 7 кг)4. Снизился аппетит! Раньше я буквально жить не могла без еды и без сладкого и мучного. Меня неудержимо тянуло что-нибудь сожрать в каждый момент времени. После начала приема сиофора меня перестало так тянуть к еде, и хотя я всё ещё ем больше для того, чтобы было вкусненько, чем от голода, булки и шоколадки уже не манят 5. Побочные эффекты через 3 дня после начала приема 1500 мг полностью пропали и больше не появлялись.Из минусов:1. Побочные эффекты в начале приема действительно неприятные. В эти дни старайтесь есть меньше углеводной пищи, тогда будет полегче. Нужно просто перетерпеть.2. Не худеешь. Я не похудела. Да и таблетки не для этого. А вот аппетит снизился, да.3. Прыщи не прошли. Не уверена, что сиофор должен был помочь, но я ожидала зрительного улучшения - от предыдущих препаратов оно было.4. Волосатость не пропала. Но в исследованиях пишут, что нужно примерно год правильного гормонального баланса, чтобы ситуация с лишней шерстью сдвинулась с мёртвой точки в лучшую сторону. (в худшую сторону она сдвигается буквально за пару недель)5. Принимать всю жизнь. Да, СПКЯ всё еще не лечится, и хотя метформин борется с симптомами на уровень выше, чем другие препараты, которые обычно назначают, способ полностью излечить поликистоз яичников всё еще не известен. Я принимала Сиофор 3 месяца и в целом довольна результатом. В ближайшее время иду сдавать анализы и узи, потом напишу разницу гормонов и узи до приёма и после.----Дополнение:Через 5 месяцев приёма Сиофора 1500мг я сдала анализы на гормоны (на узи денег не хватило))), и если раньше у меня были повышены тестостерон, индекс свободных андрогенов, ЛГ, 17-ОН-прогестерон, андростендион, то теперь повышен только ЛГ и 17-ОН-прогестерон.По анализам вроде стало лучше, но, к моему глубокому сожалению, я в депрессии, прыщи и избыточный рост волос не торопятся меня покидать. Дерматолог мне сказала, что 17-ОН-прогестерон не влияет на прыщи и волосы, а других аномалий нет, возможно, дело в диете, которую я недостаточно тщательно соблюдаю, что может сказываться на приеме сиофора. В общем, сажусь на диету для диабетиков 2 типа, которым выписывают сиофор.----ВАЖНО! Для тех, кто решил лечить андрогению или поликистоз яичников сиофором/метформином1. Убедитесь, что ваша проблема вызвана именно нарушением яичников, а не надпочечниками, гипофизом или пролактиномой в груди.2. Убедитесь, что у вас нет противопоказаний для приёма препарата.3. Начинайте принимать с 500 мг, постепенно увеличивая дозу до 1500 мг. Выше - по показаниям врача.4. Ограничьте быстрые углеводы! Это важно!5. Минимальный срок для оценки результата - 3 месяца на дозе 1500 мг.6. Когда препарат подействовал, у вас появилась овуляция, наладились месячные и всё такое - не бросайте пить! Иначе всё вернётся как было.7. Консультируйтесь с врачом по мере возможности. Лучше с эндокринологом или гинекологом-эндокринологом, чем с гинекологом, т.к. препарат диабетический и гинекологи в этом ничего не понимают.---ДОПОЛНЕНИЕ ЧЕРЕЗ ПОЛГОДА!Девушки и женщины, в попытках побороть СПКЯ мы готовы на любые эксперименты, но, как оказалось, метформин (он же сиофор) не оправдал надежд врачей и наших с вами тоже. Сейчас метформин для лечения СПКЯ уже не используют (в мире, в России используют, конечно же), его заменили инозитолом, который дает лучший эффект и АБСОЛЮТНО не имеет побочных эффектов!Погуглите в интернете и вы всё поймёте, а мой отзыв на эту биодобавку будет позже, я только начала её принимать Сейчас могу сказать только, что для индукции овуляции вместо метформина принимайте по 2г мио-инозитола +200 мг фолиевой кислоты по 2 раза в день во время еды. Если инозитол в порошке - его нужно больше, так что лучше берите капсулы. И фолиевая кислота и инозитол не имеют противопоказаний и побочных эффектов, так что смело можно пробовать. Если вам есть что добавить или вы не согласны с моим мнением - пишите в комментах, с удовольствием отвечу. сообщить о нарушении
        ","сиофор","1"
"8","
          Гипогликемическое средство BERLIN-CHEMIE Сиофор - отзыв        "," Сиофор - можно сказать неоднозначное лекарство.Пью его уже полгода в дозировке 500 два раза в день. Хочу заметить, что у препарата есть как и достоинства, так и недостатки.Достоинства:1. Нет ощущения, что тебя штормит.2. Пропадает постоянное ощущение голода.3 Вкус меняется. Перестает хотеться сладкого.4. Ночные вылазки к холодильнику прекратились.Недостатки:1. Нельзя превышать дозировку, назначенную врачом. Будете разбитым и можете упасть в обморок. Сахар может очень резко упасть.2. Действительно лучше ограничить сладости, рискнув поесть разок кусочек другой тортика, чувствовала себя пренеприятнейшие. Тошнило, кружилась голова, от еды потом день тошнило.3. Просите у аптекаря сертификат соответствия. Много подделок. сообщить о нарушении
        ","сиофор","0"
