"","name","review","type"
"256","
          Ингалятор ОАО ""Мосхимфармпрепараты"" Сальбутамол - отзыв        ","    В детстве я приобрел себе известнейшую на весь мир болезнь - астму. Будучи маленьким, задыхаясь, очень сильно мучился, потому что недуг был в пике своего рассвета. И в один прекрасный день врач выписал мне этот препарат. Цена 60-70 рублей. Это просто чудо! Средство не лечит, оно для экстренного применения. Теперь я мог не сидеть в кресле, цепляясь за каждый клочок воздуха, Я мог спокойно ложиться спать в постель, принимая  лежачее положение, не подкладывая под себя 2-3 подушки, я мог быть снова счастливым и не бояться очередного приступа. Сегодня я почти здоров. Ингалятор лежит в аптечке без применения уже 3-ий год.    
      
        
     
    
            
                        
      
        
            
              
                        
      
        
            
        

сообщить о нарушении
        ","сальбутамол"
"257","
          Ингалятор ОАО ""Мосхимфармпрепараты"" Сальбутамол - отзыв        "," ===================================Всем привет)===================================Сразу пишу, что инструкцию я не прикладываю, ее можно в интернете найти. Вначале я пользовалась сальбутамолом вот этой фирмы. Но этот я забыла положить в сумочку и при появлении астмы пришлось купить этот.    
      
        
    Стоимость этого сальбутамола    
      
        
    Вот так выглядит баллончик    
      
        
    В отличие от другого сальбутамола, этот имел результат) Астму купировал он достаточно быстро, но и побочки были... У меня от него(как и от того) тряслись руки, было сильное и быстрое сердцебиение.Помимо этого аэрозоля я пользуюсь вот этим препаратом.Сальбутамол, конечно, помогал при купировании астмы и стоит он дешево, но из-за множества побочных действий я его не рекомендую. Если кому интересно, то сейчас я пользуюсь вот этим аэрозолем. От него у меня побочек вообще нет. сообщить о нарушении
        ","сальбутамол"
"258","
          Ингалятор ОАО ""Мосхимфармпрепараты"" Сальбутамол - отзыв        ","Опыт использования:год или более
Стоимость:112 рублей
 Сегодня тоже хочу оставить отзыв об этом препарате, так, как знакома с этим лекарством не по наслышке, а исходя из личного опыта.Дело в том, что мне как раз в виду своей болезни приходиться периодически прибегать к этому лекарству. Я перепробовала очень много разных лекарств, которые мне не помогали, пока я не открыла для себя ингалятор Сальбутамол (Salbutamol).    
      
        
    СальбутамолУ меня периодически бывают приступы удушья, когда грудь сковывает, нечем дышать, начинается хрипы и кашель и вот тогда я использую ингалятор Сальбутамол. Буквально два вздоха и приступ астмы проходит. Удушья и хрипы проходят, становится сразу легко дышать.     
      
        
    СальбутамолЕщё мне нравится это лекарство потому, что оно помогает от приступа астмы на несколько часов. По этому очень часто я его использую при какой-то  длительной ходьбе. Если куда-то  выхожу из дома на несколько часов. Я делаю два вздоха с помощью ингалятора Сальбутамола и спокойно выхожу гулять. Я знаю, что в дороге у меня не случится приступ удушья, или просто банальной одышки. Так, что все, кто страдает одышкой, аллергией, астмой, этот препарат необходим, как первая скорая помощь. И самое главное, что стоимость его всего 112 рублей. Что очень радует, когда без этого лекарства просто невозможно жить.  сообщить о нарушении
        ","сальбутамол"
"259","Аэрозоль для ингаляций дозированный Сальбутамол","
        Год назад мне неожиданно поставили бронхиальную астму. Начилось с того, что как-то ночью я проснулась от того, что мне очень тяжело дышать. Это длилось сутки, я сходила к терапевту, но там сказали, что затрудняются поставить диагноз. И даже не направили к пульмонологу.Через сутки все нормализовалось и я успокоилось. Но примерно через пару месяцев все повторилось снова, причём в более обостренной форме. А я в это время лежала с дочкой в больнице. И там детский педиатр посмотрела меня и сказала, что у меня абстукция дыхания и сказала, чтобы я сама сходила к пульмонологу. Спасибо ей за то, что она попросила медсестр делать мне ингаляции, чтобы облегчить дыхание.После выписки с дочкой из больницы, я платно пошла к пульмонологу. Она дала мне полышать в какой-то аппарат, послушала и сказала, что это бронхиальная астма. И среди назначенных лекарств прописала аэрозоль ""сальбутамол"".Сказала, что постоянно им пользоваться не надо, а применять тогда, когда будет совсем тяжело дышать.И теперь только он меня и спасает. У меня с переодичностью в несколько месяцев бывают приступы, когда ничего не помогает. И тогда я пшикаю сальбутамол и очень быстро наступает облегчение.Пользоваться им просто, снимаешь крыжечку, переворачиваешь и пшикаешь:Баллончик рассчитан на 90 доз. Это достаточно много, хватает надолго, если не пользоваться им постоянно. Но постоянно и нельзя, иначе возникнет привыкание, ведь это антибиотик. Я покупала свой около года назад и он до сих пор у меня не закончился.Баллончик нельзя замораживать. На сильном морозе он замерзает - это конечно минус.Сальбутамол даже помогает, если возникает сильный кашель, который не остановить, на фоне астмы, тоже два пшика и все.Сам баллончик маленький, он теперь всегда лежит у меня в сумочке.Хорошее лекарство для астматиков, но конечно надо применять его только по рекомендации доктора.
        
            Время использования: 1 год
        
        
        
        Общее впечатление: помогает при бронхиальной астме
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            
                Безопасность
                
                    
                
                
            
                Доступность
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"260","Аэрозоль для ингаляций дозированный Сальбутамол","
        К сожалению, наш мир полон различных заболеваний с которыми мы всегда боремся как можем. Моя сестра, давно страдает астмой, и как ни крути, приходится использовать различные лекарственные средства, что бы избежать очередного приступа или скорее его предотвратить.Одним из таких средств, является наш уже привычный сальбутамол. Приобрести его можно практически в любой аптеке, делая ударение на слово ""практически"", иногда он отсутствует и приходится бежать в ближнюю аптеку. Стоимость его не велика, всего 30 гривен за спрей. Отпускается он исключительно по рецепту врача.Сам препарат, находится в аэрозоле для ингаляции. Он достаточно удобный в использовании. Одним нажатием распыляется в дозе 1 мг.Этот препарат имеет не большой спектр действия, кроме астмы и бронхита, его можно использовать беременным под строгим наблюдением врача. Показания его говорят о том, что еще его можно применять при:-Осложнений в виде бронхоспазма-Любой форме бронхиальной астмы, -Обструктивные процессы (закупорка или сужение просвета бронхов) обратимого характера в дыхательных путях, -Хронический бронхит, -Бронхо-обструктивный синдром в детском возрасте, -Родовая деятельность в срок до 37 недель беременности, -Брадикардия плода, -Недостаточность шейки матки.Детям, не рекомендуется данный препарат.Конечно есть и побочные действия, но ока что, на моей сестре они не отобразились. Пока что, привыкания к этому препарату не возникло, хотя говорят оно бывает при длительном использовании его.Эффект конечно от него моментальный. Очередной приступ быстро устраняется не оставив о себе воспоминаний. Рекомендовать буду, только при астме, и то, проконсультируйтесь с вашим врачом. Всем здоровья!
        Год выпуска/покупки: 2015Общее впечатление: эффективный
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            
                Безопасность
                
                    
                
                
            
                Доступность
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"261","Аэрозоль для ингаляций дозированный Сальбутамол","
        ""Сальбутамол"" очень хороший препарат (аэрозоль) для купирования приступов бронхиальной астмы, а так же приступов удушья разного происхождения.Препарат способствует расширению легких, увеличению их объема. Останавливает и предотвращает бронхоспазм.Препарат можно использовать как для непосредственного снятия приступа удушья, так и для его предупреждения.Очень удобен в использовании. Можно всегда носить с собой и применять по мере необходимости.Дозатор аэрозоля позволяет принимать его в необходимой дозировке.Обычно ""Сальбутамол"" брызгают 1-2 нажатия от 2 до 4 раз в сутки.Через 4-6 минут наблюдается эффект, дышать становится легче. Минут через 15-20 открывается ""второе дыхание"".В зависимости от состояния однократного приема хватает от 4 часов и больше. В легких случаях эффекта хватает на сутки.""Сальбутамол"" так же хорошо снимает приступы удушья во время поллиноза (аллергии на цветение), что особенно важно весной, когда заболевание обостряется. При поллинозе сильный изнуряющий кашель частенько переходит в бронхит, начинаются сложности с дыханием, вот тут и важно иметь под рукой ингалятор, который облегчит приступы кашля и восстановит дыхание.Так же препарат полезен и действенен при астматическом бронхите.Иногда бывают приступы удушья на нервной почве. Они, как правило, сопровожадаются повышенным, учащенным сердцебиением (тахикардия), тремором кистей рук и тяжелым дыханием. Порой бывает просто невозможно, сделать вдох. Начинается психическая паника. Хорош, если под рукой есть ""скорая помощь"" в виде флакончика ""Сальбутамола"". Одна ингаляция, и приступ отступает.Кроме того, при физических нагрузках, например, подняться пешком на высокий этаж, возможно возникновение одышки, этот препарат позволит справиться с трудностями и восстановит дыхание за одну процедуру.В любом случае, дозировка подбирается индивидуально в зависимости от диагноза и тяжести течения заболевания.К сожалению, как и у всех лекарственных средств, у этого препарата есть свои побочные эффекты и свои ограничения в применении.Его нельзя использовать больше 4, максиму 6 раз в сутки.Прежде всего, потому что, что возможно развитие зависимости, а, следовательно, снижение эффекта. При сокращении сроков между ингаляциями препаратом организм начнет требовать все больше и больше использования средства, что категорически запрещено.Поэтому, если Вы хотите, чтобы ""Сальбутамол"" действовал эффективно, нужно обязательно придерживаться инструкции и не превышать допустимых доз применения.Кроме того, важно правильно держать ингалятор во время применения. Это непременно должен вам показать врач. Обязательно на выдохе, обязательно перевернуть балоннчик вверх дном.Радует, что на фоне очень высоких цен на лекарственные препараты ""Сальбутамол"" стоит 70 рублей за 90 доз. Эффективное, качественное и недорогое лекарство.Безусловно, лекарство серьезное, и, прежде чем, начать его применение необходимо проконсультироваться с врачом.Кроме побочных эффектов, у него, естественно, есть противопоказания.Хочется еще обратить внимание на производителей ""Сальбутамола"", так, например, по личному опыту могу сказать, что не качественный препарат попадается от изготовителя ЗАО ""Биннофарм"". Во - первых, перед использованием его надо не просто встряхивать, а очень долго трясти. Во-вторых, быстро проспиртовывается и становится просто отвратительным. В-третьих, эффекта практически нет. Пару раз покупали по причине отсутствия другого ""Сальбутамола"" и оба раза разочаровывались. Разве что ""брызгалка"" у ""Биннофарма"" удобнее: не слетает, в отличие от ""Алтайвитамина"".Но все же выбираем по качеству и эффекту аэрозоль ""Сальбутамол"" фирмы ""Алтайвитамины"". Жаль, не всегда есть в аптеке. Особенно весной. Поэтому стараемся держать про запас. Препарат этого производителя никогда не подводил. Встряхнул, брызнул... и задышал!
        
            Время использования: 2 года
        
        
                
            Стоимость: 70 руб.
        
        
        Год выпуска/покупки: 2013Общее впечатление: Эффективный препарат для снятия бронхоспазмов
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            
                Безопасность
                
                    
                
                
            
                Доступность
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"262","Аэрозоль для ингаляций дозированный Сальбутамол","
        На самом деле неплохое средство, если его использовать разумно, то есть в наиболее критические моменты, скажем, в начале развития бронхита или астматического приступа. Конечно, он может развить привыкание, но это в случае, если злоупотреблять: по поводу и без повода применять. Моему ребёнку помогает хорошо и стабильно, поскольку я не пичкаю его Сальбутамолом постоянно. У него часто бывают бронхиты и в связи с этим дыхение затрудняется в первые стадии болезни, вот тогда и применяем 1 день (раза 2-3), особенно на ночь. Вот и всё, спазмы перестают мучить. Разумеется, дозировка и частота приёма индивидуальна. Но если сами не лечитесь, а пользуетесь рекомендациями врача, то это хорошее средство и привыкания не вызывает.
        Общее впечатление: хорошо помогает
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"263","Аэрозоль для ингаляций дозированный Сальбутамол","
        Препарат сальбутамол применяется в медицинской практике очень давно и считается противоастматическим препаратомЮ, а также используется у лиц с хроническим обструктивным бронхитом. Применяется исключительно по назначению врача. Самолечение ОПАСНО для здоровья.Теперь подробно о препарате. Сальбутамол стимулирует рецепторы в бронхах и способствует расширению просвета бронхов, что особенно актуально, когда у человека случается приступ бронхиальной астмы. Вначале сальбутамол помогает мгновенно и кажется, что вот она - панацея. Но, увы...ПРи постоянной стимуляции рецепторов, они блокируются, а следовательно эффект от препарата уменьшается, то есть наступает привыкание, и если раньше препарат работал сразу и применять надо было нечасто, то теперь снимает приступ он дольше, применять надо ежедневно, а то и по несколько раз на день.Мало того, есть такое грозное осложнение у астматиков, как астматический статус, это когда приступ затягивается и нет обратимости приступа, человек пытается снять приступ сальбутамолом, а рецепторы все больше блокируютс и приступусугубляется. Как правило, приходится больного дотавлять в стационар, но возможны и летальные исходы.Вообще сальбутамол в силу его дешевизны у нас является препаратом № 1 при борьбе с приступами астмы. За границейпрепаратом № 1 является серетид. Он пришел и к нам в страну по цене около 2000 на месяц. Серетид не обладает такими побочнымиэффектами, как сальбутамол, на нем пациенты забывают об астме. Проверено моим личным опытом. У нас в стране идет кампания по распространению препарата по более дешевой цене, так называемая оранж кард, по этой программе в определенных аптеках можно купить этот препарат за 500 рублей. или 100 грн на украинские деньги. Оформить оранж карт можно через своего лечащего доктора.
        
            Время использования: 7лет
        
        
        
        Год выпуска/покупки: 2004Общее впечатление: Противоастматический препарат
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: НЕТ
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"264","Аэрозоль для ингаляций дозированный Сальбутамол","
        Аэрозоль для ингаляций дозированный Сальбутамол мне была назначена в рамках комплексного лечения бронхита. И надо сказать, что это довольно таки действенное лекарство. И как только я его себе брызгала в дыхательные пути, то мне реально становилось куда легче как дышать, так и хотелось меньше кашлять. Другой вопрос, что аэрозоль нравится совсем не всем, ведь ее приходится распылять. Но если бы мне ее не назначили, то конечно же мне бы не было столь легко. А потому я конечно же оценила лечебный эффект этого лекарства. Ведь он реально снимает бронхоспазм, только вот конечно же жаль, что при применении этого препарата имеются побочные действия.Так что этот препарат сильный, и он мне помог.
        Год выпуска/покупки: 2017Общее впечатление: Облегчил мое состояние при бронхите
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            
                Безопасность
                
                    
                
                
            
                Доступность
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
"265","Аэрозоль для ингаляций дозированный Сальбутамол","
        Брат страдает бронхиальной астмой с дошкольного возраста. Он родился в частном доме, начал ползать, пол был холодным, по дому гуляли сквозняки, брат часто болел бронхитом, и вскоре это переросло в хроническую бронхиальную астму. Характеризуется это тем, что брат подвержен частым простудам и задыхается при некоторых раздражителях.В юности он переехал на море, и здоровье его заметно укрепилось. Но и на юге бывают ""сырые"" дни, когда намокшие ковер или штукатурка раздражают его бронхи. Еще брат плохо переносит свою мокрую персидскую кошечку, которая гуляла под дождем. Вообще животных держать ему запрещено, но он не слушается.Когда у брата начинаются проблемы с дыханием, он использует Беродуал Н как походный вариант, а будучи дома - Сальбутамол.Вообще он этот препарат использует вынужденно и нечасто, не хочет быть от него зависимым. Предпочитает выйти на морское побережье, до которого ему 10 минут. Но ночью и при усталости этот препарат спасает. При использовании нужно одеть мундштук, встряхнуть флакон, сделать глубокий вдох и осуществить впрыскивание в рот. После приема брат отмечает сухость во рту, иногда кашель. Плохо, что одна доза может не подействовать, а вторую дозу можно принять только через 6 часов. И все-таки в половине случаев дышать становится легче, и повторное использование может долго не понадобиться ( брат может и 2-3 месяца ни разу ничего не впрыскивать).
        
            Время использования: 1 год
        
        
                
            Стоимость: 90 руб.
        
        
        Общее впечатление: Бронхиальная астма не лечится, но жить с ней можно.
                    
                        
                
                    Моя оценка:
                    
                Рекомендую друзьям: ДА
                Качество
                
                    
                
                
            
                Упаковка
                
                    
                
                
            
                Эффект
                
                    
                
                
            
                Безопасность
                
                    
                
                
            
                Доступность
                
                    
                
                
            Это полезный отзыв?
    ","сальбутамол"
